"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"FIBP","FIBP",26511168,83687087,15639294,0.21,263525483,6025142,65898029.035
"TMCC3","TMCC3",2241136,3234802,2142204,2403468,1937252,0.6,1993143.76666667
"TBC1D26","TBC1D26",7400371,7935544,10332214,8100900,9798886,2183323,7625206.33333333
"PLEKHM3","PLEKHM3",4780131,1360581,1879230,2335712,0.21,3191867,2257920.20166667
"SPIRE2","SPIRE2",0.5,0.32,0.43,1003082,0.31,1046704,341631.26
"FAM44A","FAM44A",0.28,5537722,45981058,0.26,2064880,7562841,10191083.59
"LOC654433","LOC654433",0.81,48607128,0.24,0.31,0.51,21012333,11603243.8116667
"RAB11FIP1","RAB11FIP1",0.16,0.33,7548172,0.1,5099637,13673804,4386935.59833333
"DUSP14","DUSP14",0.45,0.49,0.26,0.21,0.25,0.22,0.313333333333333
"HCN1","HCN1",0.03,0.04,0.05,0.07,0.07,0.1,0.06
"LSM3","LSM3",78208154,157655595,161746779,472548639,99602797,159561270,188220539
"FGA","FGA",0.93,0.47,0.6,0.28,0.45,0.1,0.471666666666667
"TTC14","TTC14",0.03,0.08,0.59,7263979,0.06,0.26,1210663.33666667
"PPP1CB","PPP1CB",0.69,6017336,0.66,9400489,30844272,14270344,10088740.3916667
"EPB41L4A","EPB41L4A",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"COL27A1","COL27A1",0.14,0.14,0.26,0.28,0.24,0.13,0.198333333333333
"CRKRS","CRKRS",3084412,0.04,0.05,0.07,0.12,0.1,514068.73
"TRPM6","TRPM6",0.07,0.04,0.05,0.07,0.18,0.1,0.085
"TK2","TK2",0.03,0.04,0.05,82775079,0.06,0.1,13795846.5466667
"ZNF7","ZNF7",0.22,0.25,0.2,0.35,60335381,0.12,10055897.0233333
"PTPRN2","PTPRN2",4009920,1206745,2059905,13479361,3175948,0.37,3988646.56166667
"SEMA6D","SEMA6D",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"FAM60A","FAM60A",3651209,4778558,0.05,17659432,13217539,4185420,7248693.00833333
"KCNJ1","KCNJ1",0.27,0.23,0.21,0.11,0.08,0.12,0.17
"LIG4","LIG4",0.03,0.04,0.05,0.07,0.06,5708085,951347.541666667
"TBCB","TBCB",2793623,294215361,20142146,86120223,91965464,56013453,91875045
"GHITM","GHITM",3392736,10148791,17316998,13451168,35574975,30755815,18440080.5
"ZFYVE28","ZFYVE28",0.19,4373919,0.18,0.37,0.06,0.11,728986.651666667
"GRAMD1C","GRAMD1C",0.14,0.23,0.35,0.21,0.06,0.11,0.183333333333333
"GPR50","GPR50",36316133,0.8,1098463,1258204,0.55,0.34,6445466.94833333
"CHMP4A","CHMP4A",39856109,165068778,9315844,0.15,71063087,84144164,61574663.6916667
"FLJ13769","FLJ13769",0.06,0.14,0.05,0.07,0.07,0.11,0.0833333333333333
"HSD17B11","HSD17B11",0.03,2558316,0.05,0.07,0.07,0.11,426386.055
"C3orf39","C3orf39",5596820,5232448,5708784,3137016,4054470,0.9,3954923.15
"LOC100130691","LOC100130691",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"RASL10B","RASL10B",73891886,32158920,53052454,70235088,44147000,3457089,46157072.8333333
"TSEN54","TSEN54",0.03,0.04,0.05,102834207,7845876,0.11,18446680.5383333
"GCNT2","GCNT2",0.03,0.04,0.05,0.07,0.11,0.11,0.0683333333333333
"C9orf72","C9orf72",0.04,0.07,0.05,0.07,0.07,0.61,0.151666666666667
"DICER1","DICER1",2764869,2054275,1194052,0.9,1574123,0.11,1264553.335
"PIWIL1","PIWIL1",0.03,0.04,0.05,0.09,0.08,0.27,0.0933333333333333
"GPC5","GPC5",0.24,0.16,0.08,0.09,0.43,0.11,0.185
"ERGIC2","ERGIC2",1952592,24430900,11226489,19262126,5345284,10485511,12117150.3333333
"KLRAQ1","KLRAQ1",1125668,0.24,0.05,0.1,0.08,24498686,4270725.745
"RAI1","RAI1",1430720,1714200,2622869,1579750,1308256,0.63,1442632.605
"CCDC123","CCDC123",1007274,0.13,40634853,0.25,222545554,0.1,44031280.2466667
"DSCR8","DSCR8",0.14,0.07,0.29,0.14,0.4,0.14,0.196666666666667
"GALM","GALM",8908618,17812600,25568751,56567872,107603704,20937716,39566543.5
"NDUFC1","NDUFC1",8721423,37953392,40919402,267206665,0.24,102160048,76160155.04
"WDR3","WDR3",0.15,0.04,0.11,0.08,0.08,22317204,3719534.07666667
"C11orf24","C11orf24",1857939,0.14,0.84,0.31,0.19,36592465,6408400.91333333
"SETX","SETX",2156693,0.04,0.05,1511287,0.16,0.24,611330.081666667
"TGFB1I1","TGFB1I1",0.85,1871621,2600262,3914214,3990106,0.65,2062700.75
"PIGQ","PIGQ",0.89,2113159,1194061,1457418,0.82,0.14,794106.641666667
"C6orf125","C6orf125",2111092,2422738,2994957,31320114,8057063,0.89,7817660.815
"NCOR1","NCOR1",2440259,14424681,1525231,3041175,4988060,14015939,6739224.16666667
"CLCN7","CLCN7",0.87,2481434,2391659,4853068,1760025,1054497,2090113.97833333
"CWC15","CWC15",25115353,89569010,83489163,57305373,171585320,53317138,80063559.5
"ESPL1","ESPL1",2938611,29039906,1960437,2952513,1416621,7750487,7676429.16666667
"ADARB1","ADARB1",0.18,0.08,0.08,0.91,0.32,0.1,0.278333333333333
"SLC6A6","SLC6A6",0.06,0.04,0.06,0.07,0.07,0.1,0.0666666666666667
"CHRNB2","CHRNB2",4541249,3198932,2851406,3992519,2613300,0.87,2866234.47833333
"FZD5","FZD5",0.05,0.04,0.05,0.07,0.07,0.1,0.0633333333333333
"PARD6A","PARD6A",0.56,34463423,0.66,118211768,1609300,0.22,25714082.0733333
"TAL1","TAL1",0.17,0.1,0.16,0.1,0.53,0.34,0.233333333333333
"TMTC1","TMTC1",0.52,0.24,0.37,0.25,0.17,0.23,0.296666666666667
"COL13A1","COL13A1",0.03,0.07,0.06,0.19,0.23,0.1,0.113333333333333
"ITGAL","ITGAL",20846921,51614185,31105892,74224389,123412650,22240606,53907440.5
"KRT10","KRT10",0.33,0.54,0.97,11683852,0.8,1703625,2231246.60666667
"ADAMTS18","ADAMTS18",0.03,0.04,0.05,0.07,1335061,0.1,222510.215
"RADIL","RADIL",5243618,20694961,1016637,1186537,4926110,0.7,5511310.61666667
"LOC728411","LOC728411",36914916,68228846,137228810,5118626,9245349,54430643,51861198.3333333
"NOSIP","NOSIP",0.39,0.64,1206976,0.12,43174671,0.1,7396941.375
"ANKRD52","ANKRD52",0.15,0.04,0.12,0.07,0.19,1914876,319146.095
"UBE2G1","UBE2G1",8781751,55620688,12946099,236204111,173719732,121570335,101473786
"SPATA3","SPATA3",0.12,0.16,0.32,0.21,0.41,0.15,0.228333333333333
"NUPL2","NUPL2",16150875,0.5,19611558,89025010,115921808,30435336,45190764.5833333
"MPG","MPG",1275494,2490341,2263469,13108757,243403655,0.11,43756952.685
"SNX3","SNX3",0.03,45918443,28236779,0.07,0.06,39294497,18908286.5266667
"FOXRED2","FOXRED2",15427724,7114542,24744552,28475327,93593577,1606358,28493680
"NCAM1","NCAM1",10647400,11211846,11064379,14613622,38761166,1552316,14641788.1666667
"WFDC8","WFDC8",0.03,0.04,0.05,0.07,0.06,0.11,0.06
"FBXO40","FBXO40",0.03,0.14,0.05,0.3,0.07,0.11,0.116666666666667
"TMEFF1","TMEFF1",0.03,0.6,0.05,0.24,0.2,0.55,0.278333333333333
"SLC25A12","SLC25A12",0.2,0.14,0.18,0.39,8096764,88702231,16133165.985
"CFH","CFH",0.76,0.13,0.3,0.15,0.25,0.23,0.303333333333333
"LOC400027","LOC400027",0.03,0.04,3167996,0.07,5472877,0.23,1440145.56166667
"AGTRAP","AGTRAP",28600964,26691784,39077534,91500313,39656484,0.75,37587846.625
"RNF114","RNF114",0.49,0.04,0.05,0.07,0.07,60164528,10027421.4533333
"PNOC","PNOC",3992988,10495908,0.51,11254431,0.16,4863707,5101172.445
"CDH29","CDH29",1552365,1192769,0.35,3034013,1317219,0.37,1182727.78666667
"RAP1A","RAP1A",1132511,55122976,1615243,135442791,179068291,76683825,74844272.8333333
"SCNN1B","SCNN1B",0.22,0.59,63203783,0.88,1104974,0.26,10718126.4916667
"FLJ12825","FLJ12825",0.13,0.29,0.1,0.51,0.5,10251543,1708590.755
"MUTYH","MUTYH",0.86,1661342,1901640,2482488,2482824,14379811,3818017.64333333
"CPLX2","CPLX2",6141188,4546930,5798326,7461050,7554146,3201877,5783919.5
"ARL4A","ARL4A",0.04,0.39,0.05,4418408,43023013,1102346,8090627.91333333
"GPR142","GPR142",1919334,1352078,2732067,4071270,3031504,0.92,2184375.65333333
"SERF1A","SERF1A",0.51,0.04,0.05,0.08,0.08,27076493,4512748.96
"TMTC4","TMTC4",0.65,0.78,0.86,138344722,0.84,26411900,27459437.5216667
"RNASE1","RNASE1",14251745,13607479,8952802,12081188,7055249,8416012,10727412.5
"ACIN1","ACIN1",158438870,261045714,385246135,415188820,452952500,89084091,293659355
"CENPJ","CENPJ",0.04,3644357,0.08,0.08,10178185,12089012,4318592.36666667
"ILDR1","ILDR1",1722995896,2167875394,2620878629,2770239019,3367855096,3590087370,2706655234
"UTS2D","UTS2D",0.03,0.04,0.05,0.08,0.08,0.1,0.0633333333333333
"C21orf91","C21orf91",0.07,0.14,51727574,87542303,6418112,1974634,24610437.2016667
"GMPR","GMPR",18680737,1981309,1541064,3243486,3556044,1476980,5079936.66666667
"TLR2","TLR2",0.03,0.04,0.05,0.07,0.07,0.09,0.0583333333333333
"DDX11","DDX11",11339751,74126574,33378105,121052703,53724285,26516493,53356318.5
"ROBO1","ROBO1",0.03,0.04,0.05,0.17,0.07,0.09,0.075
"TMEM44","TMEM44",0.55,0.09,0.06,0.1,0.07,2206626,367771.145
"ZMYM6","ZMYM6",0.03,0.04,0.83,0.07,0.07,0.78,0.303333333333333
"SNRPA","SNRPA",3029045,3493300,70950804,66883354,95282238,39592090,46538471.8333333
"CYP20A1","CYP20A1",1697600,15360052,0.21,54854769,0.44,0.1,11985403.625
"HIST1H2BI","HIST1H2BI",117864636,295875239,160739204,255419487,285536638,55678527,195185621.833333
"DST","DST",0.03,0.04,0.05,0.07,0.07,0.1,0.06
"BMP7","BMP7",0.36,0.24,1256622,1463819,0.18,11414617,2355843.13
"BLCAP","BLCAP",0.05,0.09,0.1,87372102,0.18,24642624,18669121.07
"AQP1","AQP1",0.76,0.74,1482522,0.74,0.85,0.59,247087.613333333
"TRIM45","TRIM45",1966769,6685457,1626925,2920526,2683331,22950967,6472329.16666667
"OGFOD1","OGFOD1",0.69,0.04,0.05,47762593,0.07,10585117,9724618.475
"PSMC6","PSMC6",0.03,15603646,10270804,19508035,0.34,5697701,8513364.395
"VPS52","VPS52",0.2,102296645,6500206,99957895,93490154,31529899,55629133.2
"DPY19L1","DPY19L1",0.03,0.04,0.13,0.07,21427571,27609286,8172809.545
"BET1L","BET1L",1904309,1979022,4626566,10403667,86894582,1726781,17922487.8333333
"STX16","STX16",0.71,0.37,0.24,0.68,0.28,10074259,1679043.54666667
"C17orf75","C17orf75",0.52,0.04,1531092,0.12,3942574,6707337,2030167.28
"DGCR2","DGCR2",0.03,0.04,0.05,0.1,0.06,0.24,0.0866666666666667
"MYLC2PL","MYLC2PL",0.41,0.75,0.38,0.43,0.45,0.29,0.451666666666667
"ADAMTS13","ADAMTS13",22474435,32170363,26165709,47683585,17746753,3564444,24967548.1666667
"RPP30","RPP30",0.66,0.04,0.05,0.07,31312934,42265443,12263062.97
"PRAME","PRAME",0.03,0.04,0.05,0.07,0.06,0.11,0.06
"BST2","BST2",0.03,0.04,0.05,0.08,0.06,0.11,0.0616666666666667
"MRPL34","MRPL34",0.96,0.59,64850707,1065734,0.97,47110799,18837873.7533333
"TINAG","TINAG",0.03,0.04,0.05,0.07,0.2,0.11,0.0833333333333333
"SYPL1","SYPL1",0.03,0.04,2349705,0.07,0.06,0.11,391617.551666667
"HPRT1","HPRT1",0.05,0.06,0.08,0.07,7045846,4492381,1923037.87666667
"PDK3","PDK3",0.12,0.45,0.68,0.81,105345566,3504885,18141742.1766667
"C10orf12","C10orf12",0.47,1117059,0.31,0.57,0.51,0.11,186176.828333333
"PAIP1","PAIP1",0.33,1519257,0.14,0.13,0.57,48601851,8353518.195
"OPRM1","OPRM1",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"FKBP3","FKBP3",18454217,21108113,4405344,0.09,175328725,68130589,47904498.015
"RUFY3","RUFY3",2795702,0.3,0.73,0.39,4998030,6284280,2346335.57
"CD59","CD59",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"KIAA1486","KIAA1486",1103885,0.82,1549018,0.6,1452332,0.46,684206.146666667
"MKL2","MKL2",0.1,0.04,17153020,0.07,0.07,0.11,2858836.73166667
"XRCC2","XRCC2",3191494,2279982,1978498,8933191,2433375,7653101,4411606.83333333
"ZNF680","ZNF680",194638487,164278384,113346939,448489475,466371881,546051077,322196040.5
"SEC22B","SEC22B",21592692,35752183,109945291,173735218,449512314,199316267,164975660.833333
"UNQ3029","UNQ3029",1320220,1136776,1108661,0.81,0.43,0.39,594276.438333333
"MAT1A","MAT1A",18915678,16569194,18386190,20689438,17361370,3958047,15979986.1666667
"HCG4","HCG4",0.03,0.03,0.11,0.08,11809818,0.1,1968303.05833333
"CANT1","CANT1",0.03,0.15,1433338,25879379,0.2,0.25,4552119.605
"MRAS","MRAS",2100345,0.67,0.43,0.56,3528593,0.1,938156.626666667
"VDR","VDR",9221474,13272775,51362983,14998329,8395043,24601289,20308648.8333333
"MAPK1","MAPK1",7837235,0.16,0.06,28561161,0.24,0.1,6066399.42666667
"CBR3","CBR3",0.14,0.09,0.05,0.13,0.28,0.1,0.131666666666667
"PAXIP1","PAXIP1",12025514,2899463,2141086,58010742,53897719,11787267,23460298.5
"FLJ37078","FLJ37078",6255568,3089943,6056686,3382125,6409093,2708666,4650346.83333333
"GBL","GBL",12684779,212557812,12066447,68728562,15532186,20754057,57053973.8333333
"CXCL13","CXCL13",0.03,0.04,0.05,0.1,0.07,0.09,0.0633333333333333
"LOC339344","LOC339344",228104005,277981349,262126230,167783273,210721044,30597555,196218909.333333
"SYTL2","SYTL2",0.46,0.35,0.34,0.33,1644045,2984160,771367.746666667
"MTERFD2","MTERFD2",0.12,4224327,3678171,0.07,0.07,1217128,1519937.71
"CDRT15","CDRT15",2489151,1951739,3278065,1806206,1909352,0.31,1905752.21833333
"FTH1","FTH1",217349436,278789975,346600363,798682978,820031684,236433043,449647913.166667
"BMX","BMX",0.63,0.42,0.34,0.35,0.3,0.28,0.386666666666667
"JOSD1","JOSD1",13472501,3357437,0.49,87249345,3068846,10483135,19605210.7483333
"MYOZ3","MYOZ3",1216765,0.98,1323177,1971839,4301746,0.27,1468921.375
"DPYSL3","DPYSL3",0.03,0.04,0.05,0.07,0.07,0.1,0.06
"ZNF639","ZNF639",0.04,0.04,0.05,39809886,19625324,31152381,15097931.855
"ZBTB20","ZBTB20",0.3,0.22,0.28,1831086,0.44,3145951,829506.373333333
"SNX32","SNX32",0.86,0.87,2378776,1291506,0.5,0.59,611714.136666667
"IQCK","IQCK",0.06,0.04,0.13,0.09,0.11,0.1,0.0883333333333333
"MRTO4","MRTO4",10528743,13753273,32036060,11391611,0.09,17661763,14228575.015
"OCC-1","OCC-1",0.55,17093336,0.07,66366629,88925040,29470589,33642599.1033333
"OLFML2B","OLFML2B",0.08,0.06,0.05,0.08,0.11,0.15,0.0883333333333333
"LOC442175","LOC442175",1626737,1744064,3447498,3775401,1365649,0.79,1993224.965
"ITGB1BP3","ITGB1BP3",0.59,1125232,0.51,0.26,1545726,0.28,445159.94
"ATP8B4","ATP8B4",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"TRMT61B","TRMT61B",2662690,0.04,0.05,0.44,0.09,7206470,1644860.10333333
"CARD10","CARD10",24409768,29655699,77082799,32806653,40662611,0.85,34102921.8083333
"MMD","MMD",7118254,0.46,0.17,0.81,0.31,4015456,1855618.625
"CCL26","CCL26",0.03,0.04,0.05,0.07,0.06,0.11,0.06
"HNRNPL","HNRNPL",36541302,64005593,64386389,96861492,299561974,175761724,122853079
"CMKLR1","CMKLR1",0.14,0.2,0.18,0.26,0.19,0.11,0.18
"STK24","STK24",11809286,0.04,12207534,16299849,210918474,13262677,44082970.0066667
"KCNIP2","KCNIP2",0.04,0.13,0.05,0.07,0.06,0.11,0.0766666666666667
"PGCP","PGCP",0.38,0.13,0.23,41097788,0.78,0.59,6849631.685
"WDR36","WDR36",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"NUP62","NUP62",0.53,0.04,0.05,3002793,0.07,0.47,500465.693333333
"SETD7","SETD7",0.03,0.04,0.05,49293448,0.07,1112684,8401022.03166667
"ZDHHC19","ZDHHC19",0.58,0.93,2118364,0.52,1252545,0.44,561818.578333333
"CTPS","CTPS",3090400,13809051,0.06,88309491,0.2,9650407,19143224.8766667
"LOC440104","LOC440104",0.53,0.93,17283240,4005425,4776248,0.95,4344152.56833333
"POLR2F","POLR2F",1863423,1312719,1435743,4886973,353857040,1362250,60786358
"ODC1","ODC1",26751877,45810395,60505763,49381414,136785341,131546349,75130189.8333333
"ADRM1","ADRM1",6820331,9575901,115536232,370511678,14222627,0.93,86111128.3216667
"S100G","S100G",2183150,0.04,0.05,0.18,0.13,1077656,543467.733333333
"NT5DC2","NT5DC2",14740698,65108926,208237981,134855739,248675709,83082119,125783528.666667
"BLOC1S1","BLOC1S1",62429436,51803950,26288513,22134048,8990604,43162074,35801437.5
"SERAC1","SERAC1",0.03,0.04,0.05,0.07,0.08,0.16,0.0716666666666667
"ZWINTAS","ZWINTAS",0.1,0.17,0.05,0.45,0.2,7483345,1247224.32833333
"TCEA3","TCEA3",0.12,0.26,0.3,0.51,0.47,0.21,0.311666666666667
"MCM7","MCM7",7105119,40938444,5424746,27525227,4016833,22042191,17842093.3333333
"OR1E1","OR1E1",2110854,3690629,2734200,3363388,5017756,0.4,2819471.23333333
"C14orf156","C14orf156",56334740,153265802,364968501,639279940,580508317,463638351,376332608.5
"DCP1A","DCP1A",1958032,0.3,0.34,8934791,49254916,1283782,10238586.94
"GCK","GCK",2791982,4412037,15563876,5615865,24679845,0.72,8843934.28666667
"APP","APP",0.18,82090028,0.11,49350749,0.17,4711731,22692084.7433333
"PRDM8","PRDM8",5967366,1461334,0.82,171550292,0.66,0.28,29829832.2933333
"FANCC","FANCC",2822200,0.1,0.05,0.07,0.07,0.09,470366.73
"ZNF45","ZNF45",0.34,0.22,0.22,2271234,0.25,0.09,378539.186666667
"RPSA","RPSA",56941626,57628284,157604668,513009565,277386173,109259626,195304990.333333
"ZNF610","ZNF610",1255310,0.44,0.13,0.5,3010665,2197966,1077323.67833333
"PLAA","PLAA",0.03,0.04,0.05,0.07,0.07,0.09,0.0583333333333333
"IRF2BP2","IRF2BP2",3011468,12067260,0.05,0.12,0.15,4508125,3264475.55333333
"ZNF791","ZNF791",0.25,9065852,0.72,14856076,0.07,8493256,5402530.84
"C5orf13","C5orf13",4208726,0.2,0.05,0.07,0.07,2452308,1110172.39833333
"KIAA2013","KIAA2013",0.4,36337699,0.41,0.64,150030998,22349853,34786425.2416667
"IL18BP","IL18BP",22019717,29439328,51574133,15445102,21290685,3720364,23914888.1666667
"UBE2U","UBE2U",0.03,0.04,0.05,0.07,0.07,0.1,0.06
"KAZALD1","KAZALD1",1,0.51,2573691,0.38,1103192,0.46,612814.225
"LOC643905","LOC643905",9358910,5489943,7085909,5573230,7308737,1936287,6125502.66666667
"INHBA","INHBA",123897230,101730858,115613854,203362842,152858155,12673178,118356019.5
"HIST1H2BJ","HIST1H2BJ",0.14,0.05,0.05,0.07,0.06,0.1,0.0783333333333333
"SMA4","SMA4",2116137,5504556,39185250,29117489,16936677,19591907,18742002.6666667
"PGK2","PGK2",0.05,0.04,0.05,0.07,0.06,0.1,0.0616666666666667
"THPO","THPO",4136969,4587499,5622667,3339750,3610261,1816809,3852325.83333333
"DKFZp761E198","DKFZp761E198",0.25,0.04,0.05,0.07,0.06,0.83,0.216666666666667
"CCDC87","CCDC87",0.03,0.09,0.05,0.96,0.06,0.1,0.215
"C20orf11","C20orf11",0.07,0.04,0.05,0.07,17733779,0.1,2955629.88833333
"PDHB","PDHB",15786550,5991378,8822795,19124586,10829256,77965495,23086676.6666667
"ACCN1","ACCN1",7185308,0.77,1042379,1044835,2868678,0.45,2023533.53666667
"LIF","LIF",0.44,0.4,0.46,0.88,0.51,0.14,0.471666666666667
"GRB14","GRB14",0.03,0.04,0.54,0.18,0.06,0.11,0.16
"LOC149134","LOC149134",0.48,1443627,0.41,0.5,0.69,0.11,240604.865
"C10orf25","C10orf25",0.2,0.1,0.17,0.44,0.19,0.12,0.203333333333333
"LOC100127980","LOC100127980",0.04,0.08,0.05,0.14,0.19,12239337,2039889.58333333
"HTRA3","HTRA3",0.31,0.35,0.47,0.34,0.42,0.23,0.353333333333333
"CFTR","CFTR",0.06,0.04,0.05,0.16,0.06,0.11,0.08
"SLC25A15","SLC25A15",0.61,0.67,0.5,0.63,0.47,13438695,2239782.98
"SLC30A1","SLC30A1",4075673,1155416,0.93,207774429,122089156,2048791,56190577.655
"FRYL","FRYL",0.26,0.04,0.05,0.07,0.07,1669043,278173.915
"hCG_1745121","hCG_1745121",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"GSTA1","GSTA1",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"LINGO1","LINGO1",31529018,7858370,15520427,91186292,27624210,27017781,33456016.3333333
"TRIM16L","TRIM16L",1131897,44808018,2064997,3300705,2622001,2553334,9413492
"OR8B8","OR8B8",0.23,3409119,2530824,11171685,0.5,0.64,2851938.22833333
"GPNMB","GPNMB",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"GPR1","GPR1",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"PRRC1","PRRC1",0.43,1470749,5585465,0.34,42854215,16316590,11037836.6283333
"DYSF","DYSF",35281411,24062699,21965874,16883685,21322982,4929934,20741097.5
"HIST1H2AC","HIST1H2AC",0.44,0.74,6469018,4673327,0.82,0.32,1857057.88666667
"PLXNA4","PLXNA4",5624614,1244587,0.86,1821527,1564935,0.11,1709277.32833333
"KLF12","KLF12",0.08,0.04,0.05,0.07,0.08,0.11,0.0716666666666667
"tcag7.1017","tcag7.1017",8283480,28416833,23544051,135787066,30634216,18435975,40850270.1666667
"FAM64A","FAM64A",0.86,0.69,0.43,1364068,0.46,9965985,1888342.57333333
"DEFB1","DEFB1",6777218,7912717,12125386,10254805,8080524,7194594,8724207.33333333
"WDYHV1","WDYHV1",0.7,0.74,0.32,1087947,0.67,0.11,181324.923333333
"PSMA8","PSMA8",0.03,3649214,0.05,0.08,9197478,8696422,3590519.02666667
"MYO10","MYO10",0.03,0.03,0.05,0.08,0.07,0.1,0.06
"NOTCH1","NOTCH1",0.03,0.04,0.05,0.08,0.07,0.1,0.0616666666666667
"RP9P","RP9P",1159021,8740107,1335901,22715271,12190778,2613497,8125762.5
"ELAVL4","ELAVL4",3798256,2506342,1555365,4163202,1609425,0.8,2272098.46666667
"TCEB3C","TCEB3C",1106740,1992932,1352113,1496175,2096123,0.48,1340680.58
"ARHGAP1","ARHGAP1",8576283,16978700,37826870,24174079,70445109,6894616,27482609.5
"RB1","RB1",0.28,3580546,0.05,3442528,6158850,0.09,2196987.40333333
"C15orf49","C15orf49",2291048,1484117,1688972,3464050,15346259,1902183,4362771.5
"ST3GAL6","ST3GAL6",0.03,0.04,0.05,0.07,0.07,0.52,0.13
"SIGLEC6","SIGLEC6",0.26,0.04,0.12,0.11,0.08,0.13,0.123333333333333
"CAPNS2","CAPNS2",36593295,40919030,26357646,85881163,98301828,75245607,60549761.5
"ATP5SL","ATP5SL",9477196,0.76,2278428,0.39,1294169,2408655,2576408.19166667
"PTH2R","PTH2R",0.03,0.04,0.05,0.07,0.07,0.1,0.06
"NR0B1","NR0B1",0.71,6086458,11383465,1764404,0.42,0.16,3205721.38166667
"C11orf63","C11orf63",1301561,0.41,0.05,0.07,0.07,0.35,216926.991666667
"XIRP2","XIRP2",0.25,0.06,0.06,0.08,0.17,0.1,0.12
"SOD1","SOD1",40629979,53867826,0.74,73675962,41242011,157114116,61088315.79
"FLJ27365","FLJ27365",5002462,4544382,2065276,3216832,2727292,0.48,2926040.74666667
"FREM1","FREM1",3770998,0.41,0.81,1323942,0.9,0.75,849157.145
"TGFB1","TGFB1",0.87,3759372,0.7,52322458,0.94,1450014,9588641.085
"FLVCR2","FLVCR2",0.08,0.04,0.05,0.07,0.09,0.1,0.0716666666666667
"RANBP1","RANBP1",36048424,53320498,53413208,310485312,373939035,245062749,178711537.666667
"UNQ1887","UNQ1887",0.03,0.04,0.05,0.07,9731480,0.1,1621913.38166667
"COL4A5","COL4A5",0.87,1157133,0.61,3207117,6234696,0.27,1766491.29166667
"KRT73","KRT73",0.47,1012054,2186921,4211825,4822049,0.27,2038808.29
"DTNBP1","DTNBP1",1215706,22647106,0.69,95577735,152933259,3713176,46014497.115
"CARD8","CARD8",4962369,8070782,14652377,89116554,14370890,1846505,22169912.8333333
"FKTN","FKTN",0.03,0.04,0.05,0.07,0.06,0.11,0.06
"FAM69B","FAM69B",4821681,0.52,2608796,1407582,0.28,0.31,1473010.01833333
"LARP1","LARP1",14234343,39314477,4363930,7406467,59096769,29894089,25718345.8333333
"IFNW1","IFNW1",0.59,0.04,0.05,0.14,0.07,0.11,0.166666666666667
"GTF2H3","GTF2H3",1821283,0.04,0.05,0.07,0.1,2146617,661316.71
"AK1","AK1",16994323,23795240,29371869,31158048,62726153,4929234,28162477.8333333
"C14orf50","C14orf50",0.03,0.12,0.05,0.07,0.18,0.13,0.0966666666666667
"OR11A1","OR11A1",12308493,23635828,11651241,5920368,4943006,1774723,10038943.1666667
"PSTK","PSTK",7116115,0.09,0.41,0.2,0.28,0.16,1186019.35666667
"SUPT6H","SUPT6H",28635825,51160519,87386023,20547946,16392643,5152180,34879189.3333333
"NACA","NACA",96037022,214305581,211496066,600670636,644367100,321681661,348093011
"NCRNA00152","NCRNA00152",30170389,112142798,173075059,581782834,261431677,135499262,215683669.833333
"TOMM70A","TOMM70A",0.16,10678443,3107641,73144060,0.08,8202457,15855433.54
"TMEM85","TMEM85",7717308,53203108,40107243,6992510,0.76,24258930,22046516.6266667
"HTR1F","HTR1F",0.17,0.37,0.28,0.21,0.29,0.18,0.25
"SERPINB13","SERPINB13",0.03,0.03,0.09,0.08,0.07,0.1,0.0666666666666667
"IGF2BP1","IGF2BP1",0.35,0.2,0.39,0.32,1037250,0.42,172875.28
"PPP4C","PPP4C",29739487,47183677,153125266,254710754,379104383,62488492,154392009.833333
"ZBTB34","ZBTB34",18893946,22414728,18113051,25573122,17277492,3527178,17633252.8333333
"PLK5P","PLK5P",0.09,0.08,0.05,0.08,0.16,0.1,0.0933333333333333
"LARP5","LARP5",33532356,35003270,56017443,39520643,230095181,11013299,67530365.3333333
"RAB11FIP4","RAB11FIP4",7481434,0.1,0.87,0.07,0.25,0.09,1246905.89666667
"SUMO2","SUMO2",54473519,61375427,137610695,148050272,134801500,143071967,113230563.333333
"UTS2","UTS2",0.22,0.04,0.08,1114384,0.07,0.09,185730.75
"PHLDB3","PHLDB3",12392858,8725416,7053881,8713118,9326252,0.83,7701920.97166667
"TBC1D4","TBC1D4",0.4,0.59,0.27,0.07,0.18,0.09,0.266666666666667
"LOC440093","LOC440093",7123431,31434401,17187135,155507785,111591278,59951690,63799286.6666667
