"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"UBE2I","UBE2I",22478246,5841721,0.85,94863644,132518134,30831154,47755483.3083333
"DNTTIP2","DNTTIP2",7901564,43328601,12840186,189346345,198565624,50811065,83798897.5
"C6orf81","C6orf81",0.19,0.22,0.64,0.48,0.3,0.28,0.351666666666667
"GATAD2A","GATAD2A",1019284,13508183,0.14,0.1,0.17,0.11,2421244.58666667
"ZYG11B","ZYG11B",0.03,10312134,1884203,62605594,0.08,0.11,12466988.5366667
"RPL18","RPL18",46070629,156095553,205467221,172775789,572435589,108612247,210242838
"CEBPG","CEBPG",0.44,0.16,0.52,0.08,0.11,3026202,504367.218333333
"YARS","YARS",1233250,49666151,7069549,38169964,56517305,20908189,28927401.3333333
"C3orf21","C3orf21",1898508,1635304,1751987,1052660,0.73,0.63,1056410.06
"HLA-DRB1","HLA-DRB1",66900486,211120365,201928967,338491397,546766974,7355777,228760661
"C1orf150","C1orf150",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"FLJ36848","FLJ36848",0.23,0.7,0.12,0.18,0.09,0.11,0.238333333333333
"C10orf79","C10orf79",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"MASP1","MASP1",0.03,0.04,0.06,0.15,0.13,0.11,0.0866666666666667
"ADRB2","ADRB2",4203670,4683273,5784780,5949380,57071912,1245487,13156417
"RHOF","RHOF",18243970,3802327,12423717,115508356,2307467,24096356,29397032.1666667
"C5orf24","C5orf24",0.08,0.1,0.07,0.08,0.17,0.11,0.101666666666667
"CNOT8","CNOT8",10656583,6666366,9503607,14610247,89446065,0.28,21813811.38
"ZNF300","ZNF300",0.04,0.04,0.06,0.46,0.08,5863367,977227.946666667
"PRKAA2","PRKAA2",0.91,0.6,0.37,0.56,0.23,0.18,0.475
"OBP2A","OBP2A",0.66,1295141,0.83,5274518,1098979,0.41,1278106.65
"AMY2B","AMY2B",0.22,0.33,0.37,8972829,0.41,0.1,1495471.73833333
"ATG5","ATG5",0.03,0.04,2546069,3130549,5286286,1906811,2144952.51166667
"CCNA1","CCNA1",0.03,0.04,0.05,0.11,0.15,0.1,0.08
"SERP1","SERP1",6184207,3953994,1953438,0.09,0.09,37509979,8266936.36333333
"MAOB","MAOB",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"CASD1","CASD1",0.15,0.06,0.05,0.09,0.09,0.1,0.09
"FASLG","FASLG",0.4,0.37,1489936,0.32,0.46,0.46,248323.001666667
"WAPAL","WAPAL",0.63,0.21,0.18,0.43,0.27,0.1,0.303333333333333
"PANX1","PANX1",0.37,0.42,0.2,0.46,0.42,2873469,478911.811666667
"PAQR4","PAQR4",0.17,0.34,0.15,0.35,0.21,17526576,2921096.20333333
"HSD11B2","HSD11B2",1145651,2627143,7642733,1649885,1269306,3617046,2991960.66666667
"NEB","NEB",0.03,0.04,0.05,0.11,0.08,0.1,0.0683333333333333
"SCYL2","SCYL2",0.04,0.04,0.05,0.25,0.37,6644559,1107426.625
"FER1L4","FER1L4",1289996,0.31,0.46,0.1,7210910,3043302,1924034.81166667
"MYH15","MYH15",0.34,0.32,0.92,0.51,0.8,0.1,0.498333333333333
"CLOCK","CLOCK",3185519,0.66,1012258,0.33,28112354,3242950,5925513.665
"SNRPN","SNRPN",0.03,24691003,0.05,0.09,0.08,0.1,4115167.225
"FAM108A1","FAM108A1",4576643,5925282,12330488,40260275,80002694,1545446,24106804.6666667
"GPR120","GPR120",1193268,1264167,2053251,0.53,3148714,0.78,1276566.885
"C1GALT1","C1GALT1",1826925,6818181,11728612,27710663,35779116,51580594,22574015.1666667
"TRIM36","TRIM36",0.03,0.04,0.05,0.09,0.08,0.1,0.065
"CXCL2","CXCL2",2903020,0.81,1676617,101386468,0.36,0.1,17661017.7116667
"S100PBP","S100PBP",2409446,0.96,1492192,0.12,0.11,22873638,4462546.19833333
"LOC100128361","LOC100128361",7181381,15367156,7667670,5073620,2889667,0.61,6363249.10166667
"TBC1D14","TBC1D14",39583654,19827464,38351015,221214143,133424798,7903525,76717433.1666667
"CD1A","CD1A",0.32,1267379,0.26,0.38,0.49,0.1,211230.091666667
"RFC1","RFC1",1309306,2330329,2051477,1617009,1244253,0.8,1425395.8
"RNF121","RNF121",11604306,0.92,6355507,22255084,60641231,20171101,20171204.9866667
"C6orf62","C6orf62",1958888,3099486,2971347,28726376,7159174,5782729,8283000
"LOC440338","LOC440338",2536916,3726808,4005393,3757439,4935452,0.53,3160334.755
"FAM98A","FAM98A",2060944,0.81,16102037,20476349,13601660,111593191,27305696.9683333
"NFKBIB","NFKBIB",34073976,113079062,0.54,93820571,39367291,28496992,51472982.09
"ENAH","ENAH",0.19,0.13,0.33,0.65,0.79,0.11,0.366666666666667
"TNFAIP8L3","TNFAIP8L3",0.08,0.04,0.06,0.08,0.08,0.11,0.075
"LOC646652","LOC646652",9453727,18722899,2461068,0.29,24038341,45642892,16719821.215
"KCNJ15","KCNJ15",0.1,0.11,0.06,0.08,0.08,0.11,0.09
"C17orf64","C17orf64",0.2,0.21,0.25,0.45,0.62,0.35,0.346666666666667
"BLK","BLK",19619306,0.68,39115573,0.08,35326750,0.31,15676938.345
"ZNF556","ZNF556",0.17,0.09,0.06,0.21,0.26,0.11,0.15
"NR1H2","NR1H2",16176775,21010917,28618234,9807441,12294080,3831889,15289889.3333333
"MAP4K5","MAP4K5",2590579,0.16,14767508,2779237,0.57,10371831,5084859.28833333
"ATPAF2","ATPAF2",6635916,5469087,5654654,3622316,2406134,2322535,4351773.66666667
"PPP2R2C","PPP2R2C",0.03,0.04,0.06,0.21,0.08,0.11,0.0883333333333333
"NSUN7","NSUN7",0.03,0.05,0.28,0.08,0.08,0.11,0.105
"SMARCA4","SMARCA4",18502679,194650342,57201852,40367270,68170772,44417388,70551717.1666667
"AASDHPPT","AASDHPPT",0.23,0.08,0.06,0.08,0.17,2232971,372161.936666667
"SHOX2","SHOX2",3315020,1968552,0.68,1105016,4011455,0.15,1733340.63833333
"HCFC1","HCFC1",4196408,18769598,58817080,104166679,194716695,40025255,70115285.8333333
"SDK1","SDK1",4577541,28859999,11556521,2219946,7695568,1672695,9430378.33333333
"IL2RA","IL2RA",3354195,0.04,0.05,0.09,0.09,0.1,559032.561666667
"GGA1","GGA1",75638415,81816043,88327014,52870846,82908939,35119880,69446856.1666667
"OPA3","OPA3",0.63,33824268,1049431,92148283,61783156,8353415,32859758.9383333
"MAP3K2","MAP3K2",0.03,0.04,9139326,0.09,0.09,55153024,10715391.7083333
"DYNLT3","DYNLT3",0.16,0.11,0.57,0.09,0.09,9028785,1504797.67
"CPSF6","CPSF6",33522053,105025541,182062781,260182506,297153119,225911774,183976295.666667
"POLE2","POLE2",0.49,1554245,1308942,0.96,1092755,10265284,2370204.575
"ACVRL1","ACVRL1",0.43,0.15,0.15,0.4,0.4,0.1,0.271666666666667
"LRRC4","LRRC4",0.09,10487234,31275367,0.59,0.22,0.38,6960433.71333333
"CCND1","CCND1",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"SAR1B","SAR1B",11797798,17032931,12263927,20228684,4043145,30813603,16030014.6666667
"MAGEF1","MAGEF1",5036967,0.33,1788189,0.21,133114843,8564705,24750784.09
"CCDC94","CCDC94",7279341,28081827,4419945,54461036,1983263,0.86,16037568.81
"IMP3","IMP3",37670845,5449599,0.29,419941670,127277270,0.11,98389897.4
"UBE2DNL","UBE2DNL",1118896,1025559,0.97,0.73,1917969,0.57,677071.045
"C3orf27","C3orf27",0.14,0.36,0.71,0.48,0.14,0.11,0.323333333333333
"ARFIP1","ARFIP1",0.08,22959970,0.07,0.09,0.97,0.1,3826661.885
"BRCA2","BRCA2",0.32,0.04,0.05,0.09,15294651,1711475,2834354.41666667
"CCDC92","CCDC92",1629853,0.3,0.43,0.27,87143458,0.1,14795552.0166667
"RAB5C","RAB5C",4707285,25123834,20620522,2522337,111178359,15674479,29971136
"MEIG1","MEIG1",0.03,0.04,0.05,0.12,0.08,0.1,0.07
"MKL1","MKL1",0.72,1056040,0.31,0.94,4490918,11158117,2784179.495
"CENPN","CENPN",0.03,0.04,0.05,0.08,0.08,0.46,0.123333333333333
"AHCTF1","AHCTF1",4531370,10822274,3379900,1914916,0.33,2173088,3803591.38833333
"KRT71","KRT71",17163989,23892801,30855630,11004527,6441964,4774295,15688867.6666667
"PHACTR3","PHACTR3",0.03,0.04,0.05,0.08,0.07,0.11,0.0633333333333333
"TTTY9A","TTTY9A",0.14,0.04,0.05,0.08,0.07,0.11,0.0816666666666667
"NFKB2","NFKB2",14025755,34177154,68645879,44498199,10497113,1019689,28810631.5
"RGAG4","RGAG4",0.13,0.04,0.25,0.08,0.08,0.11,0.115
"FKSG43","FKSG43",19345674,15716194,8745261,28853455,32060456,6763542,18580763.6666667
"ACP1","ACP1",2864027,6549858,2245801,51724866,156790227,42928323,43850517
"PAK2","PAK2",1011669,1329360,10157013,0.26,100978413,7202559,20113169.0433333
"ALDH4A1","ALDH4A1",150188341,162788756,116619912,454038084,222847735,18074161,187426164.833333
"NOL4","NOL4",0.03,0.04,0.06,0.08,0.08,0.12,0.0683333333333333
"FBXO3","FBXO3",0.77,0.29,4445564,0.19,0.17,17516376,3660323.57
"LOC100134400","LOC100134400",3337820,9323990,9479570,6179575,11721464,0.68,6673736.61333333
"MUC3A","MUC3A",256366109,125317157,26959242,130331507,15012930,415274990,161543655.833333
"ZNHIT2","ZNHIT2",10848850,17961864,18008829,13436540,5791759,1678982,11287804
"OR2V2","OR2V2",2688216,4687728,0.72,0.23,0.27,0.11,1229324.22166667
"CACNG8","CACNG8",0.93,1206389,1041446,0.81,9769925,0.54,2002960.38
"CIDEC","CIDEC",21281807,3357690,32020326,1251266,3211084,56179112,19550214.1666667
"LOC100128252","LOC100128252",0.12,0.15,0.07,0.08,0.55,0.11,0.18
"tcag7.1196","tcag7.1196",15373069,0.04,0.06,42436792,0.23,1885474,9949222.555
"LOC374491","LOC374491",1409948,3275770,3169831,1034984,2565857,0.81,1909398.46833333
"JUN","JUN",36271847,133938866,151866727,469297934,196137697,42190838,171617318.166667
"LOC100128760","LOC100128760",70456802,97340901,169548975,272522159,201840246,30725698,140405796.833333
"SMAD7","SMAD7",2345854,1743209,1662844,4353500,6748570,0.43,2808996.23833333
"RXRA","RXRA",13952859,76927444,2769155,0.7,0.53,0.95,15608243.3633333
"CCDC23","CCDC23",0.14,0.04,0.05,0.27,0.13,0.1,0.121666666666667
"RAB3D","RAB3D",0.87,0.04,12172566,0.1,11744273,10679676,5766086.00166667
"C14orf28","C14orf28",0.15,0.04,0.05,0.09,0.09,0.11,0.0883333333333333
"IGF1","IGF1",5099920,5447151,66168787,65869264,4259452,0.76,24474095.7933333
"ZFYVE19","ZFYVE19",6518850,11148899,7813926,37624842,4931795,3554568,11932146.6666667
"NUDC","NUDC",43455900,196933507,208934036,65865431,173430877,34423274,120507170.833333
"NR3C1","NR3C1",1226273,0.07,2858247,0.51,0.58,0.24,680753.566666667
"SFT2D1","SFT2D1",5604850,7552592,24619801,16659616,117823881,53665548,37654381.3333333
"NODAL","NODAL",4000721,5781929,8537743,7524959,5553259,1075762,5412395.5
"HLA-DRB5","HLA-DRB5",55050223,239554563,333924211,337816106,542436202,31540906,256720368.5
"NDUFB9","NDUFB9",1935591,7759270,6850100,6299057,5725831,4787253,5559517
"MKRN1","MKRN1",15522787,4547970,37874528,0.09,3271887,12050422,12211265.6816667
"GPX8","GPX8",0.39,0.35,0.07,0.31,0.08,0.19,0.231666666666667
"ITGA2B","ITGA2B",6191201,0.81,2499878,3615706,11195490,2119767,4270340.46833333
"TNNT2","TNNT2",3144132,5248323,3857940,2689144,3589372,1426984,3325982.5
"DGKB","DGKB",0.03,0.04,0.05,0.09,0.08,0.1,0.065
"CAV1","CAV1",0.68,0.14,1213966,15128261,99883758,2170140,19732687.6366667
"MFN1","MFN1",2971273,22102481,6537441,2685453,5687195,3225580,7201570.5
"ATRNL1","ATRNL1",0.03,0.18,0.08,0.09,0.08,0.1,0.0933333333333333
"CLK1","CLK1",40684258,121507787,317056414,156838634,287341226,179910505,183889804
"C1R","C1R",1706232,0.04,0.05,0.08,0.15,0.1,284372.07
"BOC","BOC",1033490,0.63,0.96,2560015,1055927,0.3,774905.648333333
"MMP2","MMP2",0.19,0.29,0.24,0.41,0.1,0.1,0.221666666666667
"PPWD1","PPWD1",1718691,36736731,112301139,0.33,54542011,11612010,36151763.7216667
"BRD8","BRD8",0.1,0.05,0.24,5331457,0.35,0.1,888576.306666667
"IFNA5","IFNA5",0.22,0.12,0.25,0.11,0.19,0.16,0.175
"CLSTN3","CLSTN3",2016856,2200395,102142121,25378455,1343803,2977250,22676480
"LTF","LTF",0.13,0.16,0.14,0.14,0.09,0.18,0.14
"SNX12","SNX12",2414679,0.74,1164303,1051475,1751572,21761403,4690572.12333333
"MALT1","MALT1",0.03,0.04,0.06,153206927,0.07,0.11,25534487.885
"FBXL17","FBXL17",1393991,0.55,0.05,0.08,0.07,0.11,232331.976666667
"ANKRD26L1","ANKRD26L1",5839505,4889517,27608683,0.69,14431751,51363506,17355493.7816667
"RGS12","RGS12",0.7,0.49,0.49,1232632,0.92,0.35,205439.158333333
"hCG_1790474","hCG_1790474",1263875,9028380,10272078,0.58,7574425,27920873,9343271.93
