"GENE_SYMBOL","Tetanis_Means","NT7_Mean","T7_Mean","FC_tet_flu_nt7","FC_tet_flu_t7"
"A1BG",22.5144403330474,4.23732123933333,4.28394302866667,5.31336640801623,5.25554149118896
"A1CF",22.9031539776075,3.08119830233333,3.188847033,7.43319700009683,7.1822679923473
"A2BP1",0.396890152568585,2.905717984,3.18780369891667,0.136589357519902,0.124502695289381
"A2LD1",0.113255977503258,3.23305101383333,4.178542453,0.0350306806229369,0.0271041825653692
"A2M",0.278975949702815,2.41142110216667,3.14639742016667,0.115689437009635,0.0886651978274369
"A2ML1",21.1270650043071,2.32732414716667,2.8727878235,9.07783517393895,7.35420306069362
"A4GALT",25.3094547620189,2.66555964333333,2.999816936,9.49498722541019,8.43699975764752
"A4GNT",20.1984853968604,2.64313632,2.93887992366667,7.64186290507348,6.87285153578509
"AAAS",24.6740220577308,4.23219538166667,4.42777976066667,5.8300763156199,5.5725495375623
"AACS",21.260371452598,5.31171569066667,6.444919139,4.00254318768511,3.29878016993969
"AADAC",0.335330799489851,2.393122381,2.940429882,0.140122712550007,0.114041420114316
"AADACL2",0.0749620576812219,2.27971007033333,2.92682910566667,0.0328822768547323,0.0256120377975219
"AADAT",0.18269229751619,2.507422555,3.16860549533333,0.0728605942990691,0.057657003304847
"AAK1",19.5047931724454,4.52784035671429,5.63396131685714,4.3077475431575,3.46200338899841
"AAMP",24.5772568028578,6.524056427,7.29558781,3.76717416194379,3.3687836323716
"AANAT",24.9401797307263,2.351505979,2.473075782,10.6060456377544,10.0846807494742
"AARS",24.2042275018108,6.161727301,6.73218832533333,3.92815623273083,3.59529863576899
"AARS2",24.0827879226545,4.9908961945,5.57287614483333,4.82534338205509,4.32142888102437
"AARSD1",23.5699034577695,4.18083009733333,4.678625645,5.63761332296263,5.03778358137254
"AASDH",0.278975949702815,5.505402583,6.780948543,0.050673124353205,0.0411411394635641
"AASDHPPT",18.5055748604366,5.56822387133333,6.64229543722222,3.32342507917257,2.78602104277607
"AASS",0.329602022772784,3.07513155716667,3.6628050855,0.107183064088637,0.0899862305197686
"AATF",25.5192830251583,7.961735314,8.33091620866667,3.20524132223849,3.06320246008602
"AATK",0.382206106811471,5.411976162,5.58052524566667,0.0706222820224372,0.0684892711682037
"ABAT",0.0953618561228602,4.95676781111111,6.15855189044444,0.0192387175992179,0.0154844609283593
"ABCA1",19.2873255050739,4.93203874183333,4.87464660833333,3.91061922151578,3.95666128332293
"ABCA11P",18.6400396627135,2.880331749,3.907782891,6.47149053895788,4.76997831830507
"ABCA12",20.1793104521632,2.246933077,2.62550010466667,8.98082397678959,7.68589207682593
"ABCA13",0.111031312388744,2.18716323433333,2.69016912522222,0.0507649866483731,0.0412729859055134
"ABCA17P",0.195347598322219,3.48999283333333,3.50458994666667,0.0559736388156536,0.0557405006848293
"ABCA2",24.5236518029781,2.66832118411111,3.11026539966667,9.19066713145612,7.88474572157292
"ABCA3",18.0689977967383,3.73428992266667,3.77449978866667,4.83867031508768,4.7871238067074
"ABCA4",20.5009487927791,2.69085533566667,2.9989053225,7.61874803191524,6.83614405528771
"ABCA5",20.8288987322581,5.49342819733333,6.5779820185,3.79160298160792,3.1664572316675
"ABCA6",0.102098187618736,2.31242364233333,2.66958307966667,0.044152025498111,0.0382449935334038
"ABCA7",23.6322944418757,5.89368391566667,6.279271524,4.00976618020793,3.76354077882294
"ABCA8",0.152724260688705,2.42029886022222,2.90353498333333,0.0631014058630273,0.0525994215896698
"ABCA9",0.203723209892378,2.31915435655556,2.91826082211111,0.0878437475782986,0.069809801902834
"ABCB1",0.146220740851044,4.16615287383333,5.3639689535,0.0350973056628392,0.0272598037234416
"ABCB10",18.9418984891476,7.100592725,8.52227853433333,2.66765032480406,2.22263311540889
"ABCB11",0.276992863423714,2.42892720233333,2.90654548,0.11403917876074,0.0952996831908213
"ABCB4",0.22650852980868,3.82797995166667,3.77270610216667,0.059171817164314,0.0600387423972929
"ABCB5",0.161350265704302,2.44777537075,2.88332358425,0.06591710482603,0.0559598189345342
"ABCB6",24.7884552965234,2.75612368116667,3.257967552,8.99395606442105,7.60856420479274
"ABCB7",25.5890683993819,7.92759227566667,8.204201368,3.2278486972553,3.11902003029698
"ABCB8",20.6334982168989,2.87829694466667,3.24456689133333,7.16864820189303,6.35939985457343
"ABCB9",25.3755725978325,2.80139669588889,3.37837478288889,9.05818609519732,7.51117748284087
"ABCC1",25.7856683367137,6.79560502,6.87045256933333,3.79446248874448,3.75312515099944
"ABCC10",24.099923171034,5.71230663783333,6.539259672,4.21894773845248,3.68542073259849
"ABCC11",17.6966059244884,2.45945055333333,3.05590132566667,7.19534934357752,5.79096117268371
"ABCC12",0.327687364176047,2.261139683,2.88479920316667,0.144921327346431,0.113591047798523
"ABCC13",0.292781749227846,3.0190179045,3.09676790783333,0.0969791364242788,0.0945442984239307
"ABCC2",20.3567551470814,3.14371371366667,3.45694453033333,6.47538452963589,5.88865542054807
"ABCC3",0.236747714313518,4.43258086055556,4.54655036511111,0.0534108055242211,0.0520719436279096
"ABCC4",0.0840642647884745,4.61894049016667,4.86041537241667,0.0181999021133613,0.0172956956036201
"ABCC5",0.207892851641333,4.755146515,5.56749760111111,0.0437195470182758,0.0373404474570126
"ABCC8",22.8988770118753,2.7838148745,3.41033398133333,8.22571831971698,6.71455556470822
"ABCC9",17.6408306979354,2.4427582544,2.93305737666667,7.22168502190506,6.0144853756607
"ABCD1",20.6447739179123,3.0259002875,3.73763666233333,6.82268811143444,5.52348336208373
