"","Females_AD1_Mean","Females_control1_Mean","males_AD1_Mean","males_control1_Mean","FC_fem_ctrl_AD","FC_male_ctrl_AD"
"ABCA11",6.67199416950503,6.87379052757915,6.72950731264383,6.86562216661867,0.970642637819051,0.980174432750371
"ABCA12",6.46493387149259,6.45265944758856,6.45860907811784,6.46250505494287,1.00190222713654,0.999397141388377
"ABCA13",6.42324729780081,6.40530419258114,6.43403304744187,6.40703855886576,1.0028012885384,1.00421325520802
"ABCA2",7.63841421981403,8.0196305567422,7.74209706272184,8.029852768345,0.952464601176961,0.964164261297848
"ABCA3",9.88967180872408,9.60397857648699,9.76347942130206,9.5920766975031,1.02974738333304,1.01786919863178
"ABCA4",6.65016154042515,6.61251190957209,6.80033715647023,6.63622683003609,1.00569369573438,1.02472946308757
"ABCA5",6.82089932247614,6.99750495323295,6.88554859920389,7.01295556373855,0.974761628332222,0.981832629142351
"ABCA6",6.85083524196281,6.72048263910467,6.8486628556728,6.75052596408687,1.01939631569013,1.01453766596974
"ABCA7",6.74318986800693,6.6793381040223,6.73721839105095,6.66413230086572,1.00955959452722,1.01096708271769
"ABCA8",7.97047415582746,7.80070089624592,8.11715673566012,7.9445214490306,1.02176384684397,1.02173010517211
"ABCA9",6.97560397688001,6.95835624472885,7.01316676996182,6.92201059995913,1.00247870783624,1.01316903068644
"ABCB1",8.48195253190028,8.32733186420905,8.43216285091084,8.39778550884701,1.01856785224998,1.00409361992249
"ABCB10",7.72500827240022,7.95727796030953,7.85388893002029,7.8913382786038,0.970810409154003,0.995254372926193
"ABCB11",6.4843547283605,6.49169267080565,6.49574519277367,6.47617727348608,0.998869641121776,1.00302152310866
"ABCB4",6.50913567522742,6.49264863554038,6.50310198712511,6.46852734883793,1.00253933958428,1.00534505559343
"ABCB5",6.42787959920396,6.41189046683037,6.44741638246494,6.43050571963434,1.00249366898207,1.00262975628479
"ABCB6",8.94354813693385,8.84484469534461,9.00671569117211,8.88295679944057,1.01115943184861,1.01393217309571
"ABCB7",8.80486022414162,8.20560071283691,8.4728847382497,8.27792591729609,1.07303054733911,1.02355165084846
"ABCB9",8.65954155287435,8.59178336357383,8.5405711992646,8.61456793095651,1.007886394062,0.991410279391262
"ABCC1",6.48157194922494,6.50203500843842,6.49651422885229,6.51603119422051,0.996852822356857,0.997004777173944
"ABCC10",7.34490712280802,7.46566415882687,7.33008226373362,7.35302006135505,0.983825010950153,0.99688049299063
"ABCC11",6.52333940029193,6.56788290487162,6.54759306304037,6.56052705727738,0.99321798131531,0.998028512934389
"ABCC12",7.13816482582806,7.50003979592715,7.21177081852073,7.64531197121654,0.951750260005873,0.943293203164498
"ABCC13",6.54821473642392,6.55133170123705,6.54772209193542,6.54475758681689,0.999524224240922,1.00045295873517
"ABCC3",6.72571357075862,6.70917012827219,6.75899928910801,6.65858486706379,1.00246579564538,1.01508044487665
"ABCC4",7.19638824074167,7.15981848354109,7.33941054049721,7.17328032412599,1.00510763747498,1.02315958792416
"ABCC5",9.03811211602737,9.10949424746107,9.04974033108842,9.13320314838435,0.992163985234021,0.990861605075467
"ABCC6",6.55971413678164,6.54403652312718,6.54921882730331,6.55199083643355,1.00239570998711,0.999576921091704
"ABCC6P1",6.58815905776626,6.57300874685226,6.60264423622037,6.57122492502781,1.00230492784925,1.00478134770169
"ABCC6P2",6.79934416161524,6.76085431253203,6.7413780821216,6.70807824298618,1.00569304518393,1.00496413994131
"ABCC8",9.16107884804151,9.39439495760874,9.09275176809388,9.41508532667001,0.975164328238269,0.965764138359633
"ABCC9",6.87759204622176,6.81277089355526,6.90280534472214,6.87668377545705,1.00951465324158,1.00379857066546
"ABCD1",6.53385941694984,6.57122724738052,6.51439712952779,6.5559197711164,0.99431341680573,0.993666389608434
"ABCD2",6.56030976287994,6.56783848131767,6.54504241491373,6.54253037292622,0.998853699210304,1.00038395572421
"ABCD3",7.63106271162687,7.61349704185078,7.70749435493011,7.61216900408587,1.00230717496566,1.01252275807238
"ABCD4",6.60778848134228,6.62973646864788,6.61850632900093,6.59969432981184,0.996689463086595,1.00285043492152
"ABCE1",8.0421862130663,8.54054400758515,8.26499336466237,8.50309536524584,0.94164800344378,0.971998197085188
